CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2,3200.0,Ford,Focus,2008
E432XX77RUS,1,6500.0,Toyota,Camry,1980
7184TT36RUS,1,2100.0,Ford,Focus,1995
X582HE161RUS,2,2000.0,Ford,Focus,2003
92918M178RUS,1,5700.0,Ford,Focus,2003
H234YH197RUS,2,6000.0,Ford,Focus,1985
E40577152RUS,1,8594.5864661654,Ford,Focus,2003
707987163RUS,2,2200.0,Ford,Focus,1984
K330T8197RUS,2,8200.0,Skoda,Octavia,1996
X786CO96RUS,1,8594.5864661654,Ford,Focus,2016
C477M7161RUS,1,2500.0,Ford,Focus,2005
O21997197RUS,1,2000.0,Ford,Focus,2009
M592CH197RUS,2,8594.5864661654,Skoda,Octavia,2001
9020YC197RUS,2,145000.0,Skoda,Octavia,1996
8182XX154RUS,1,200.0,Ford,Focus,1982
7830C8197RUS,2,8594.5864661654,Ford,Focus,2005
7066C8197RUS,2,15000.0,Volkswagen,Passat,1997
M298CH161RUS,2,8594.5864661654,Ford,Focus,2005
E445TC197RUS,1,8594.5864661654,Ford,Focus,2004
8440XX154RUS,1,6200.0,Ford,Focus,2006
9371CE154RUS,2,8594.5864661654,Skoda,Octavia,1987
9182CE154RUS,2,19800.0,Ford,Focus,1998
83298C154RUS,2,8594.5864661654,Ford,Focus,2015
Y7659C197RUS,2,8594.5864661654,Ford,Focus,1993
C922YE197RUS,2,3800.0,Volkswagen,Golf,2014
7364C8197RUS,2,8594.5864661654,Ford,Focus,2009
M5039X197RUS,2,7400.0,Volkswagen,,1993
8603T8154RUS,1,1500.0,Ford,Focus,1999
92928M178RUS,1,8594.5864661654,Ford,Focus,1998
O672E8197RUS,2,63300.0,Skoda,Octavia,1994
E42277152RUS,2,10600.0,Ford,Focus,1990
C903MC161RUS,1,1600.0,Volkswagen,Jetta,2009
T7318T163RUS,2,12000.0,Toyota,Camry,1981
Y7719C197RUS,1,9200.0,Ford,Focus,1981
T011MY163RUS,1,2000.0,Ford,Focus,1986
H115YO163RUS,1,2200.0,Ford,Focus,1999
73467Y96RUS,1,800.0,Ford,Focus,2008
O134HE197RUS,1,8594.5864661654,Ford,Focus,1992
H968HY161RUS,1,2400.0,Ford,Focus,2001
Y654E8750RUS,1,500.0,Skoda,Octavia,1997
H963HY161RUS,2,2800.0,Ford,Focus,1983
H232YH197RUS,2,8600.0,Ford,Focus,2009
7843C8197RUS,2,12300.0,Ford,Focus,2000
X791O796RUS,1,500.0,Ford,Focus,2018
H958HY161RUS,1,1800.0,Ford,Focus,1980
708587163RUS,2,1400.0,Ford,Focus,2012
Y973O8197RUS,2,8594.5864661654,Ford,Focus,2012
97977H178RUS,1,1000.0,Ford,Focus,2015
H917TC36RUS,2,4000.0,Ford,Focus,1989
X786CO96RUS,1,1000.0,Ford,Focus,1999
Y7709C197RUS,1,500.0,Ford,Focus,2013
8513XX154RUS,1,1500.0,Ford,Focus,1983
T870X7163RUS,2,2000.0,Skoda,Octavia,1987
8818C877RUS,1,2500.0,Volkswagen,Passat,1992
T395OT197RUS,2,8594.5864661654,Volkswagen,Touareg,2013
K327T8197RUS,2,20800.0,Volkswagen,Golf,1992
8311XX154RUS,2,8600.0,Ford,Focus,2000
X423MK197RUS,2,14300.0,Ford,Focus,1991
96429X178RUS,1,2600.0,Ford,Focus,1993
O275O7161RUS,2,16600.0,Ford,Focus,2006
7789KT197RUS,2,12600.0,Ford,Focus,1981
E28877161RUS,1,1000.0,Ford,Focus,1997
T6068M116RUS,1,1000.0,Ford,Focus,2011
9498KX178RUS,2,1600.0,Ford,Focus,1984
99209X178RUS,1,500.0,Skoda,Octavia,2005
T6449O50RUS,2,8594.5864661654,Ford,Focus,1982
9683EC178RUS,2,26000.0,Ford,Focus,2007
Y353O8197RUS,2,21800.0,Ford,Focus,1992
O719MM163RUS,2,2300.0,Ford,Focus,2010
E535MM199RUS,1,500.0,Volkswagen,Touareg,2001
Y352O8197RUS,2,103600.0,Ford,Focus,2005
7788KT197RUS,2,12000.0,Ford,Focus,2004
E807HE77RUS,2,4500.0,Ford,Focus,1989
M516CH161RUS,1,1000.0,Ford,Focus,2003
89587X197RUS,1,8594.5864661654,Toyota,Camry,1984
7781KT197RUS,2,600.0,Ford,Focus,2002
E645TH36RUS,1,2400.0,Ford,Focus,2001
Y302E877RUS,1,500.0,Ford,Focus,1992
M058XE36RUS,2,8500.0,Skoda,Octavia,2004
7830C8197RUS,1,5100.0,Ford,Focus,2017
8166XX154RUS,1,2400.0,Ford,Focus,2011
M589CH197RUS,2,7900.0,Volkswagen,,1986
9408H7178RUS,1,1000.0,Skoda,Octavia,2008
H387TM197RUS,2,1600.0,Volkswagen,Passat,1994
8049HT125RUS,1,500.0,Ford,Focus,2018
9698MO178RUS,2,18400.0,Volkswagen,Golf,2010
8685HE154RUS,1,1000.0,Ford,Focus,1982
7177TT36RUS,1,1000.0,Ford,Focus,2017
O77997197RUS,1,22400.0,Ford,Focus,2002
Y234E877RUS,1,8594.5864661654,Ford,Focus,1983
97987H178RUS,2,5000.0,Ford,Focus,1995
X257HE161RUS,2,10000.0,Ford,Focus,1995
T399KX197RUS,2,10200.0,Ford,Focus,1982
H957HY161RUS,1,2000.0,Ford,Focus,1982
K379HY161RUS,1,200.0,Volkswagen,Golf,2007
T654HT96RUS,1,4000.0,Toyota,Corolla,2000
8439XX154RUS,2,4600.0,Ford,Focus,2014
Y965EE197RUS,2,9600.0,Ford,Focus,1999
X758HY197RUS,2,24200.0,Ford,Focus,2014
M0279X197RUS,2,180000.0,Ford,Focus,1980
H224X836RUS,1,3500.0,Ford,Focus,2002
E6849O154RUS,1,200.0,Volkswagen,Golf,1980
O83797197RUS,2,75900.0,Ford,Focus,1980
9402KK197RUS,2,8594.5864661654,Toyota,Camry,1989
7368C8197RUS,1,4400.0,Ford,Focus,2007
H427YH197RUS,2,29700.0,Volkswagen,Passat,1982
9583EY178RUS,2,4300.0,Ford,Focus,2006
Y038E877RUS,2,6500.0,Ford,Focus,2003
9822H8161RUS,1,100.0,Ford,Focus,1987
7826C8197RUS,2,3600.0,Ford,Focus,1999
E160YX77RUS,2,2200.0,Ford,Focus,2002
82337X197RUS,2,2100.0,Ford,Focus,1982
X757HY197RUS,2,6800.0,Ford,Focus,2013
X765HY197RUS,2,13900.0,Ford,Focus,2011
934497178RUS,2,1900.0,Skoda,Octavia,2015
K2807K154RUS,1,1000.0,Ford,Focus,1999
T8008Y125RUS,2,1000.0,Ford,Focus,1992
X765HY197RUS,2,27800.0,Ford,Focus,2016
Y960EE197RUS,1,8594.5864661654,Skoda,Octavia,2008
7840C8197RUS,2,7000.0,Ford,Focus,2008
K846YE77RUS,2,2000.0,Volkswagen,Passat,2010
E40577152RUS,1,500.0,Ford,Focus,1994
7827C8197RUS,1,7500.0,Ford,Focus,2013
Y655E8750RUS,2,5200.0,Skoda,Octavia,2008
H003MH197RUS,2,2900.0,Ford,Focus,2018
Y7699C197RUS,2,15800.0,Ford,Focus,2007
Y8399C197RUS,2,1800.0,Ford,Focus,1999
9135X938RUS,2,4400.0,Ford,Focus,2012
H385TM197RUS,1,9500.0,Volkswagen,Passat,2014
9428EX178RUS,1,1000.0,Ford,Focus,2013
H837YK197RUS,2,4200.0,Audi,,1987
O83597197RUS,2,4000.0,Ford,Focus,1992
E42577152RUS,2,8594.5864661654,Ford,Focus,2004
E53277152RUS,1,1000.0,Ford,Focus,2017
C476M7161RUS,2,1500.0,Ford,Focus,1987
9943KK197RUS,2,29700.0,Ford,Focus,2005
8165XX154RUS,1,4900.0,Ford,Focus,2012
T476KX197RUS,1,1500.0,Ford,Focus,1982
C422X938RUS,2,10500.0,Ford,Focus,2017
K328T8197RUS,1,300.0,Volkswagen,Golf,2005
9466EX178RUS,2,800.0,Ford,Focus,2000
X256HE161RUS,1,2400.0,Ford,Focus,1997
Y275O8197RUS,1,8594.5864661654,Ford,Focus,1997
8165XX154RUS,2,4200.0,Ford,Focus,2000
E432XX77RUS,2,13000.0,Toyota,Camry,1983
7830C8197RUS,2,10200.0,Ford,Focus,1986
H217X836RUS,1,2000.0,Ford,Focus,1983
Y316E877RUS,2,7000.0,Ford,Focus,1984
934497178RUS,1,3800.0,Skoda,Octavia,2011
O77997197RUS,2,8594.5864661654,Ford,Focus,2017
8601XX154RUS,1,1300.0,Skoda,Octavia,2005
M741T9152RUS,2,1000.0,Ford,Focus,1994
9883HX152RUS,2,1000.0,Ford,Focus,1993
Y6829Y50RUS,1,500.0,Ford,Focus,1982
H004MH197RUS,1,39600.0,Ford,Focus,2013
704987163RUS,2,8594.5864661654,Ford,Focus,2015
E160YX77RUS,2,1100.0,Ford,Focus,1989
E316EH197RUS,1,1300.0,Volkswagen,,2018
X758HY197RUS,2,72600.0,Ford,Focus,2012
O22297197RUS,1,500.0,Ford,Focus,2014
O02597197RUS,1,800.0,Ford,Focus,2002
X015HY197RUS,2,16000.0,Toyota,Corolla,1984
T769OT197RUS,2,30900.0,Volkswagen,Golf,1994
Y778EE197RUS,1,24000.0,Volkswagen,Golf,2006
7829C8197RUS,2,1800.0,Ford,Focus,2005
T272HH163RUS,1,1000.0,Ford,Focus,1989
T018OX197RUS,2,3400.0,Toyota,Corolla,2012
Y255E877RUS,1,2500.0,Ford,Focus,1986
9182CE154RUS,2,13200.0,Ford,Focus,1995
9697MO178RUS,1,1000.0,Volkswagen,Golf,2016
C477M7161RUS,2,5000.0,Ford,Focus,2004
T686EO197RUS,1,500.0,Toyota,Camry,1981
C590EY154RUS,2,8594.5864661654,Ford,Focus,1989
T941CC96RUS,1,2000.0,Ford,Focus,1987
O22397197RUS,2,55500.0,Ford,Focus,2005
X242EC197RUS,2,10600.0,Volkswagen,Golf,1996
T020OX197RUS,1,34300.0,Toyota,Corolla,1995
E33577152RUS,2,2000.0,Ford,Focus,1987
Y973O8197RUS,1,34800.0,Ford,Focus,1983
E773EH197RUS,2,6800.0,Ford,Focus,1994
T6428M116RUS,2,6000.0,Ford,Focus,2005
Y7129Y50RUS,2,32000.0,Ford,Focus,2017
Y418EX197RUS,2,900.0,Volkswagen,Passat,2015
Y7689C197RUS,1,27000.0,Ford,Focus,2001
7066C8197RUS,1,3000.0,Volkswagen,Passat,2015
E52877152RUS,1,1500.0,Ford,Focus,1995
7369C8197RUS,2,8594.5864661654,Ford,Focus,1991
Y166O8161RUS,1,100.0,Ford,Focus,1986
705287163RUS,2,2000.0,Ford,Focus,1986
K559KC161RUS,1,100.0,Ford,Focus,1995
M0299X197RUS,2,67200.0,Ford,Focus,1987
92928M178RUS,1,600.0,Ford,Focus,2011
9822H8161RUS,1,200.0,Ford,Focus,2000
8603T8154RUS,1,3000.0,Ford,Focus,1983
84418C154RUS,1,3000.0,Ford,Focus,2002
E53488152RUS,2,1800.0,Ford,Focus,2017
9697MO178RUS,1,500.0,Volkswagen,Golf,2002
Y7709C197RUS,1,1500.0,Ford,Focus,1987
90159H178RUS,2,600.0,Volkswagen,Passat,1993
C798ET50RUS,1,10000.0,Ford,Focus,1988
Y193O8161RUS,2,600.0,Ford,Focus,1989
7248C8197RUS,2,8600.0,Ford,Mondeo,1996
Y275O8197RUS,1,6000.0,Ford,Focus,1994
K357YE77RUS,1,5000.0,Volkswagen,Golf,1990
9697MO178RUS,1,8594.5864661654,Volkswagen,Golf,2004
E0697X152RUS,1,2000.0,Skoda,Octavia,1980
E40877152RUS,1,1000.0,Ford,Focus,2014
Y351O8197RUS,1,1500.0,Ford,Focus,1985
Y356O8197RUS,2,45900.0,Ford,Focus,2005
O6939X163RUS,1,7200.0,Ford,Focus,2011
Y7649C197RUS,2,5300.0,Ford,Focus,1986
9935TE152RUS,2,2500.0,Ford,Focus,1988
704687163RUS,2,1400.0,Ford,Focus,2009
7197TT36RUS,2,6800.0,Ford,Focus,2007
X765HY197RUS,2,41700.0,Ford,Focus,2014
H115YO163RUS,1,8594.5864661654,Ford,Focus,2012
O143HO197RUS,2,30300.0,Toyota,Corolla,2004
K436MO152RUS,1,1500.0,Ford,Focus,2017
9938OH154RUS,1,500.0,Skoda,Octavia,1992
E34877152RUS,2,6100.0,Ford,Focus,1984
E5878M777RUS,1,8500.0,Skoda,Octavia,2004
E33577152RUS,1,1000.0,Ford,Focus,1996
7844C8197RUS,2,34000.0,Ford,Focus,2017
X256HE161RUS,2,800.0,Ford,Focus,1985
C584EY154RUS,1,500.0,Ford,Focus,2007
E28977161RUS,2,1500.0,Ford,Focus,1981
T016OX197RUS,2,3200.0,Toyota,Corolla,1988
H889YK197RUS,2,10600.0,Ford,Focus,1998
7363C8197RUS,2,1600.0,Ford,Focus,1980
T6039O50RUS,2,1500.0,Ford,Focus,2014
7365C8197RUS,1,2300.0,Ford,Focus,2016
Y967O8197RUS,1,4000.0,Ford,Focus,2008
E816HE77RUS,1,3000.0,Ford,Focus,2002
T6329O50RUS,1,500.0,Ford,Focus,1994
X504X8197RUS,1,8594.5864661654,Skoda,Octavia,2016
M581CH197RUS,1,200.0,Ford,Focus,2006
X523OM161RUS,2,800.0,Ford,Focus,1993
C412X938RUS,1,1000.0,Ford,Focus,1999
7831C8197RUS,2,3400.0,Ford,Focus,1981
8164XX154RUS,2,4400.0,Ford,Focus,1980
H004MH197RUS,2,9900.0,Ford,Focus,1998
X015HY197RUS,2,24000.0,Toyota,Corolla,1991
T6419O50RUS,2,9000.0,Ford,Focus,1987
E822TH36RUS,2,12900.0,Ford,Focus,1998
8437XX154RUS,1,8594.5864661654,Ford,Focus,2017
E445TC197RUS,1,3400.0,Ford,Focus,2014
C515X938RUS,1,1900.0,Ford,Focus,1992
7172TT36RUS,2,5700.0,Ford,Focus,1997
8436XX154RUS,1,800.0,Ford,Focus,1991
E79988152RUS,1,500.0,Ford,Focus,2006
8180XX154RUS,1,2800.0,Ford,Focus,2006
84438C154RUS,2,3800.0,Ford,Focus,1980
T6309O50RUS,2,24000.0,Ford,Focus,1992
T6129O50RUS,2,6000.0,Ford,Focus,2015
K339T8197RUS,2,19200.0,Ford,Focus,2009
8685HE154RUS,1,2000.0,Ford,Focus,1993
X782CO96RUS,1,8594.5864661654,Ford,Focus,1989
E591HE77RUS,2,6000.0,Ford,Focus,1995
89587X197RUS,1,4400.0,Toyota,Camry,2003
9499KX178RUS,1,2300.0,Ford,Focus,2007
8818C877RUS,1,5000.0,Volkswagen,Passat,1981
Y357O8197RUS,1,2200.0,Ford,Focus,2007
Y652O8197RUS,1,5800.0,Volkswagen,Touareg,2000
X767HY197RUS,2,18000.0,Ford,Focus,1989
H220X836RUS,1,7000.0,Ford,Focus,2004
H218X836RUS,2,17500.0,Ford,Focus,1999
T913CT197RUS,1,7900.0,Toyota,Camry,1984
T6439O50RUS,2,16500.0,Ford,Focus,2011
7784KT197RUS,2,13200.0,Ford,Focus,2009
X286TC36RUS,2,8594.5864661654,Ford,Focus,1992
O752MX161RUS,1,1300.0,Ford,Focus,2004
Y7449Y50RUS,1,8000.0,Ford,Focus,2013
H115YO163RUS,2,1100.0,Ford,Focus,1990
8818C877RUS,2,10000.0,Volkswagen,Passat,1990
92828M178RUS,1,300.0,Ford,Focus,2011
